"10-K","AERIE PHARMACEUTICALS INC","1337553","2014-03-26","edgar/data/1337553/0001193125-14-116752.txt"
"10-K","AEROCENTURY CORP","1036848","2014-03-12","edgar/data/1036848/0001036848-14-000002.txt"
"10-K","AES CORP","874761","2014-02-26","edgar/data/874761/0000874761-14-000011.txt"
"10-K","AETNA INC /PA/","1122304","2014-02-28","edgar/data/1122304/0001122304-14-000037.txt"
"10-K","AETRIUM INC","908598","2014-03-26","edgar/data/908598/0001144204-14-017932.txt"
"10-K","AFC BUILDING TECHNOLOGIES INC.","1533030","2014-03-25","edgar/data/1533030/0001062993-14-001576.txt"
"10-K","AFFILIATED MANAGERS GROUP, INC.","1004434","2014-02-27","edgar/data/1004434/0001004434-14-000006.txt"
"10-K","AFFINITY MEDIAWORKS CORP","1433821","2014-03-07","edgar/data/1433821/0001262463-14-000160.txt"
"10-K","AFFIRMATIVE INSURANCE HOLDINGS INC","1282543","2014-03-31","edgar/data/1282543/0001193125-14-123886.txt"
"10-K","AFFYMAX INC","1158223","2014-03-31","edgar/data/1158223/0001445305-14-001231.txt"
"10-K","AFFYMETRIX INC","913077","2014-03-03","edgar/data/913077/0000913077-14-000012.txt"
"10-K","AFH ACQUISITION V, INC.","1420033","2014-02-13","edgar/data/1420033/0001493152-14-000442.txt"
"10-K","AFH ACQUISITION VI, INC.","1420034","2014-02-13","edgar/data/1420034/0001493152-14-000443.txt"
"10-K","AFH ACQUISITION VII, INC.","1420035","2014-02-13","edgar/data/1420035/0001493152-14-000448.txt"
"10-K","AFH ACQUISITION X, INC.","1419554","2014-02-13","edgar/data/1419554/0001493152-14-000445.txt"
"10-K","AFH ACQUISITION XI, INC.","1419553","2014-02-13","edgar/data/1419553/0001493152-14-000446.txt"
"10-K","AFH ACQUISITION XII, INC.","1419552","2014-02-13","edgar/data/1419552/0001493152-14-000447.txt"
"10-K","AFH Acquisition IX, Inc.","1419556","2014-02-13","edgar/data/1419556/0001493152-14-000449.txt"
"10-K","AFH Acquisition VIII, Inc.","1419560","2014-02-13","edgar/data/1419560/0001493152-14-000444.txt"
"10-K","AFLAC INC","4977","2014-02-27","edgar/data/4977/0000004977-14-000052.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124173.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124176.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124181.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124182.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124196.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124202.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124206.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124238.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124254.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124259.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124261.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124265.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124267.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124268.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124272.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124273.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124279.txt"
"10-K","AFS SenSub Corp.","1347185","2014-03-31","edgar/data/1347185/0001193125-14-124284.txt"
"10-K","AG Mortgage Investment Trust, Inc.","1514281","2014-02-28","edgar/data/1514281/0001144204-14-012449.txt"
"10-K","AGCO CORP /DE","880266","2014-02-28","edgar/data/880266/0000880266-14-000004.txt"
"10-K","AGENUS INC","1098972","2014-03-07","edgar/data/1098972/0001445305-14-000937.txt"
"10-K","AGIOS PHARMACEUTICALS INC","1439222","2014-03-18","edgar/data/1439222/0001193125-14-104521.txt"
"10-K","AGL RESOURCES INC","1004155","2014-02-06","edgar/data/1004155/0001004155-14-000008.txt"
"10-K","AGREE REALTY CORP","917251","2014-03-07","edgar/data/917251/0001144204-14-014127.txt"
"10-K","AIMCO PROPERTIES L.P.","926660","2014-02-21","edgar/data/926660/0000922864-14-000008.txt"
"10-K","AIR INDUSTRIES GROUP","1009891","2014-03-25","edgar/data/1009891/0001193805-14-000587.txt"
"10-K","AIR LEASE CORP","1487712","2014-02-27","edgar/data/1487712/0001047469-14-001481.txt"
"10-K","AIR METHODS CORP","816159","2014-03-03","edgar/data/816159/0001188112-14-000551.txt"
"10-K","AIRWARE LABS CORP.","1500123","2014-01-13","edgar/data/1500123/0001554795-14-000012.txt"
"10-K","AIS FUTURES FUND IV LP","1023453","2014-03-31","edgar/data/1023453/0001144204-14-019090.txt"
"10-K","AJS Bancorp, Inc.","1576336","2014-03-26","edgar/data/1576336/0001104659-14-022986.txt"
"10-K","AK STEEL HOLDING CORP","918160","2014-02-21","edgar/data/918160/0000918160-14-000005.txt"
"10-K","AKAMAI TECHNOLOGIES INC","1086222","2014-03-03","edgar/data/1086222/0001542567-14-000009.txt"
"10-K","AKORN INC","3116","2014-03-14","edgar/data/3116/0001157523-14-001078.txt"
"10-K","ALABAMA GAS CORP","3146","2014-03-03","edgar/data/3146/0000277595-14-000012.txt"
"10-K","ALABAMA POWER CO","3153","2014-02-27","edgar/data/3153/0000092122-14-000012.txt"
"10-K","ALAMO GROUP INC","897077","2014-03-11","edgar/data/897077/0000897077-14-000007.txt"
"10-K","ALASKA AIR GROUP, INC.","766421","2014-02-13","edgar/data/766421/0000766421-14-000010.txt"
"10-K","ALASKA COMMUNICATIONS SYSTEMS GROUP INC","1089511","2014-03-27","edgar/data/1089511/0001193125-14-116933.txt"
"10-K","ALASKA PACIFIC BANCSHARES INC","1081860","2014-03-26","edgar/data/1081860/0000939057-14-000122.txt"
"10-K","ALBANY INTERNATIONAL CORP /DE/","819793","2014-02-26","edgar/data/819793/0000891092-14-001589.txt"
"10-K","ALBANY MOLECULAR RESEARCH INC","1065087","2014-03-17","edgar/data/1065087/0001144204-14-016173.txt"
"10-K","ALBEMARLE CORP","915913","2014-02-25","edgar/data/915913/0000915913-14-000008.txt"
"10-K","ALCO, INC.","734543","2014-03-31","edgar/data/734543/0001137050-14-000061.txt"
"10-K","ALCOA INC","4281","2014-02-13","edgar/data/4281/0001193125-14-051516.txt"
"10-K","ALERE INC.","1145460","2014-03-03","edgar/data/1145460/0001193125-14-080002.txt"
"10-K","ALEXANDERS INC","3499","2014-02-24","edgar/data/3499/0000003499-14-000005.txt"
"10-K","ALEXANDRIA REAL ESTATE EQUITIES INC","1035443","2014-03-03","edgar/data/1035443/0001035443-14-000013.txt"
"10-K","ALEXION PHARMACEUTICALS INC","899866","2014-02-10","edgar/data/899866/0000899866-14-000034.txt"
"10-K","ALIGN TECHNOLOGY INC","1097149","2014-02-28","edgar/data/1097149/0001445305-14-000789.txt"
"10-K","ALIMERA SCIENCES INC","1267602","2014-03-07","edgar/data/1267602/0001267602-14-000015.txt"
"10-K","ALL AMERICAN SPORTPARK INC","930245","2014-03-31","edgar/data/930245/0001263279-14-000003.txt"
"10-K","ALL MARKETING SOLUTIONS, INC.","1464300","2014-03-31","edgar/data/1464300/0001494733-14-000008.txt"
"10-K","ALLDIGITAL HOLDINGS, INC.","1389217","2014-03-31","edgar/data/1389217/0001493152-14-000936.txt"
"10-K","ALLEGHANY CORP /DE","775368","2014-02-25","edgar/data/775368/0001193125-14-067345.txt"
"10-K","ALLEGHENY TECHNOLOGIES INC","1018963","2014-02-27","edgar/data/1018963/0001445305-14-000663.txt"
"10-K","ALLERGAN INC","850693","2014-02-25","edgar/data/850693/0000850693-14-000002.txt"
"10-K","ALLETE INC","66756","2014-02-14","edgar/data/66756/0000066756-14-000026.txt"
"10-K","ALLIANCE DATA SYSTEMS CORP","1101215","2014-02-28","edgar/data/1101215/0001101215-14-000058.txt"
"10-K","ALLIANCE FIBER OPTIC PRODUCTS INC","1122342","2014-03-14","edgar/data/1122342/0001206774-14-000879.txt"
"10-K","ALLIANCE RESOURCE PARTNERS LP","1086600","2014-02-28","edgar/data/1086600/0001104659-14-014605.txt"
"10-K","ALLIANCEBERNSTEIN HOLDING L.P.","825313","2014-02-12","edgar/data/825313/0001140361-14-006056.txt"
"10-K","ALLIANCEBERNSTEIN L.P.","1109448","2014-02-12","edgar/data/1109448/0001140361-14-006058.txt"
"10-K","ALLIANT ENERGY CORP","352541","2014-02-25","edgar/data/352541/0000352541-14-000006.txt"
"10-K","ALLIED MOTION TECHNOLOGIES INC","46129","2014-03-18","edgar/data/46129/0001047469-14-002566.txt"
"10-K","ALLIED RESOURCES INC","1211524","2014-03-31","edgar/data/1211524/0001211524-14-000016.txt"
"10-K","ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.","1124804","2014-03-03","edgar/data/1124804/0001193125-14-080251.txt"
"10-K","ALLSTATE CORP","899051","2014-02-20","edgar/data/899051/0001047469-14-001083.txt"
"10-K","ALLSTATE LIFE INSURANCE CO","352736","2014-03-05","edgar/data/352736/0001104659-14-016286.txt"
"10-K","ALMOST FAMILY INC","799231","2014-03-14","edgar/data/799231/0001104659-14-019646.txt"
"10-K","ALNYLAM PHARMACEUTICALS, INC.","1178670","2014-02-20","edgar/data/1178670/0001193125-14-060913.txt"
"10-K","ALP LIQUIDATING TRUST","814046","2014-03-19","edgar/data/814046/0000892626-14-000069.txt"
"10-K","ALPHA PRO TECH LTD","884269","2014-03-06","edgar/data/884269/0001437749-14-003563.txt"
"10-K","ALPINE 1 Inc.","1580443","2014-02-04","edgar/data/1580443/0001262463-14-000092.txt"
"10-K","ALPINE 2 Inc.","1580485","2014-02-07","edgar/data/1580485/0001262463-14-000097.txt"
"10-K","ALPINE 3 Inc.","1580490","2014-02-07","edgar/data/1580490/0001262463-14-000099.txt"
"10-K","ALR TECHNOLOGIES INC.","1087022","2014-03-31","edgar/data/1087022/0001002014-14-000126.txt"
"10-K","ALST Casino Holdco, LLC","1527705","2014-03-27","edgar/data/1527705/0001104659-14-023369.txt"
"10-K","ALTERA CORP","768251","2014-02-14","edgar/data/768251/0000768251-14-000008.txt"
"10-K","ALTERNET SYSTEMS INC","1126003","2014-03-31","edgar/data/1126003/0001062993-14-001709.txt"
"10-K","ALTEROLA BIOTECH INC.","1442999","2014-02-27","edgar/data/1442999/0001255294-14-000122.txt"
"10-K","ALTEROLA BIOTECH INC.","1442999","2014-03-11","edgar/data/1442999/0001255294-14-000155.txt"
"10-K","ALTEVA, INC.","104777","2014-03-28","edgar/data/104777/0001104659-14-024110.txt"
"10-K","ALTRIA GROUP, INC.","764180","2014-02-26","edgar/data/764180/0000764180-14-000025.txt"
"10-K","AMAG PHARMACEUTICALS INC.","792977","2014-02-10","edgar/data/792977/0001047469-14-000718.txt"
"10-K","AMANASU TECHNO HOLDINGS CORP","1168663","2014-03-31","edgar/data/1168663/0001354488-14-001533.txt"
"10-K","AMARIN CORP PLC\UK","897448","2014-02-27","edgar/data/897448/0001193125-14-072975.txt"
"10-K","AMAZON COM INC","1018724","2014-01-31","edgar/data/1018724/0001018724-14-000006.txt"
"10-K","AMBAC FINANCIAL GROUP INC","874501","2014-03-03","edgar/data/874501/0001193125-14-080373.txt"
"10-K","AMBASE CORP","20639","2014-03-26","edgar/data/20639/0000020639-14-000016.txt"
"10-K","AMBASSADORS GROUP INC","1162315","2014-03-27","edgar/data/1162315/0001162315-14-000018.txt"
"10-K","AMBIT BIOSCIENCES CORP","1131543","2014-03-20","edgar/data/1131543/0001193125-14-108100.txt"
"10-K","AMC ENTERTAINMENT HOLDINGS, INC.","1411579","2014-03-04","edgar/data/1411579/0001047469-14-001769.txt"
"10-K","AMC ENTERTAINMENT INC","722077","2014-03-04","edgar/data/722077/0001047469-14-001771.txt"
"10-K","AMC Networks Inc.","1514991","2014-02-27","edgar/data/1514991/0001514991-14-000008.txt"
"10-K","AMCOL INTERNATIONAL CORP","813621","2014-03-03","edgar/data/813621/0001140361-14-010423.txt"
"10-K","AMEDICA Corp","1269026","2014-03-31","edgar/data/1269026/0001193125-14-124269.txt"
"10-K","AMEDISYS INC","896262","2014-03-12","edgar/data/896262/0001193125-14-095238.txt"
"10-K","AMERA LINK INC","1133266","2014-03-19","edgar/data/1133266/0001096906-14-000315.txt"
"10-K","AMEREN CORP","1002910","2014-03-03","edgar/data/1002910/0001002910-14-000054.txt"
"10-K","AMERIANA BANCORP","855574","2014-03-25","edgar/data/855574/0001193125-14-114221.txt"
"10-K","AMERICA FIRST MULTIFAMILY INVESTORS, L.P.","1059142","2014-03-07","edgar/data/1059142/0001059142-14-000005.txt"
"10-K","AMERICAN AIRLINES INC","4515","2014-02-28","edgar/data/4515/0000006201-14-000004.txt"
"10-K","AMERICAN AXLE & MANUFACTURING HOLDINGS INC","1062231","2014-02-07","edgar/data/1062231/0001062231-14-000011.txt"
"10-K","AMERICAN BIO MEDICA CORP","896747","2014-03-31","edgar/data/896747/0001144204-14-019165.txt"
"10-K","AMERICAN BIOGENETIC SCIENCES INC","856984","2014-02-26","edgar/data/856984/0001295345-14-000032.txt"
"10-K","AMERICAN CAMPUS COMMUNITIES INC","1283630","2014-03-03","edgar/data/1283630/0001283630-14-000003.txt"
"10-K","AMERICAN CAPITAL, LTD","817473","2014-03-03","edgar/data/817473/0000817473-14-000010.txt"
"10-K","AMERICAN CHURCH MORTGAGE CO","934543","2014-03-28","edgar/data/934543/0000934543-14-000005.txt"
"10-K","AMERICAN CRYOSTEM Corp","1468679","2014-01-14","edgar/data/1468679/0001019056-14-000025.txt"
"10-K","AMERICAN EAGLE ENERGY Corp","1282613","2014-03-28","edgar/data/1282613/0001144204-14-018879.txt"
"10-K","AMERICAN EAGLE OUTFITTERS INC","919012","2014-03-13","edgar/data/919012/0001193125-14-098050.txt"
"10-K","AMERICAN ELECTRIC POWER CO INC","4904","2014-02-25","edgar/data/4904/0000004904-14-000019.txt"
"10-K","AMERICAN EQUITY INVESTMENT LIFE HOLDING CO","1039828","2014-03-03","edgar/data/1039828/0001039828-14-000026.txt"
"10-K","AMERICAN EXPRESS CO","4962","2014-02-25","edgar/data/4962/0001193125-14-066777.txt"
"10-K","AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST","1003509","2014-03-20","edgar/data/1003509/0001193125-14-108120.txt"
"10-K","AMERICAN EXPRESS CREDIT CORP","4969","2014-03-11","edgar/data/4969/0001193125-14-093223.txt"
"10-K","AMERICAN EXPRESS RECEIVABLES FINANCING CORP II","949349","2014-03-20","edgar/data/949349/0001193125-14-108120.txt"
"10-K","AMERICAN EXPRESS RECEIVABLES FINANCING CORP III LLC","1283434","2014-03-20","edgar/data/1283434/0001193125-14-108120.txt"
"10-K","AMERICAN EXPRESS RECEIVABLES FINANCING CORP IV LLC","1283435","2014-03-20","edgar/data/1283435/0001193125-14-108120.txt"
"10-K","AMERICAN FINANCIAL GROUP INC","1042046","2014-02-28","edgar/data/1042046/0001042046-14-000014.txt"
"10-K","AMERICAN INDEPENDENCE CORP","97196","2014-03-14","edgar/data/97196/0000097196-14-000005.txt"
"10-K","AMERICAN INTERNATIONAL GROUP INC","5272","2014-02-20","edgar/data/5272/0001047469-14-001096.txt"
"10-K","AMERICAN LASER HEALTHCARE Corp","1534099","2014-01-14","edgar/data/1534099/0001376474-14-000007.txt"
"10-K","AMERICAN NATIONAL BANKSHARES INC.","741516","2014-03-12","edgar/data/741516/0000741516-14-000012.txt"
"10-K","AMERICAN NATIONAL INSURANCE CO /TX/","904163","2014-02-28","edgar/data/904163/0001193125-14-077865.txt"
"10-K","AMERICAN PUBLIC EDUCATION INC","1201792","2014-02-27","edgar/data/1201792/0001157523-14-000857.txt"
"10-K","AMERICAN REALTY CAPITAL - RETAIL CENTERS OF AMERICA, INC.","1500554","2014-03-11","edgar/data/1500554/0001500554-14-000003.txt"
